,,,,,,,,,"Please choose how much you agree or disagree with the
 following statements:",,,,,,"Please choose how much you agree or disagree with the
 following statements:",,,,,,,,,
,,What is your field of study/discipline?,Which GSRI session did you participate in?,How did you hear about GSRI?,"Did you participate in your session's GSRI Slack
 Community?","Did you attend any of the optional synchronous Zoom
 sessions offered by GSRI?","Check the phrase that best describes your comfort level before this
 workshop in regards to research at the graduate level.","Check the phrase that best describes your comfort level after this
 workshop in regards to research at the graduate level.",The purpose of this workshop was clear.,"The workshop presented the subject matter in a clear, understandable, and organized manner.","The activities and supplemental materials linked in the course (blogs, websites, videos) were helpful.",The class met or exceeded my expectations.,I didn't learn anything in this workshop. I already knew everything that was covered.,The level of interactivity between students and mentors was helpful.,I appreciated being assigned to a GSRI cohort.,My GSRI cohort helped me to feel more connected to other UW graduate students.,My GSRI cohort size was about right.,I appreciated being assigned to my GSRI mentor(s).,My GSRI mentors contributed positively to my learning.,What aspects of the course were most useful?,The most useful thing I learned in this course was:,I would have liked to learn more about:,"What was your overall impression of the Graduate Student
 Research Institute?","I would recommend GSRI to other / future UW graduate
 students."
Participant ID,Finish Date,,,,,,,,,,,,,,,,,,,,,,,
20020468,8/28/2020 1:29 PM,business analytics,#1,Department Advisor,"No, I joined but did not participate in the GSRI Slack.","Yes, I attended both the Kick-Off and the STEM event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,,How to choose the productivity tools as per needs.,,,Agree
20031192,09/05/2020 8:05 AM,Urban planning,#1,Department Advisor,"Yes, I participated my discipline specific Slack channel.","No, I did not attend either synchronous Zoom event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,The information about research strategies and tools and ways to organize research.,The different organization tools my fellow students use and how they keep themselves on track with their research.,,It is definitely a useful course that I wish I had a bit more time to dig into. I’ll be revisiting the resources over the next few months as I get more time to focus on my thesis.,Strongly Agree
20024762,09/01/2020 10:30 AM,,#1,Department Advisor,"Yes, I participated regularly in the general GSRI Slack., Yes, I participated my discipline specific Slack channel., Yes, I participated in private Slack channels.","Yes, I attended the GSRI Kick-Off event on Monday.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Introduction to different subject-specific databases based on the discipline,How to find out use the keywords effectively to find out the articles/journals I'm looking for,Using VPN proxy,Very informative and helpful,Strongly Agree
20021296,8/29/2020 6:53 PM,Social Work,#1,Social Media,"Yes, I participated in private Slack channels.","No, I did not attend either synchronous Zoom event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"Information on finding cited articles and relevant journals in my field, as well as all the resources available through the library that are specific to my field/interests.",Citation management tools!,"N/A - I came in unfamiliar with so many of these resources, I really could not identify what would be missing!",I enjoyed it and felt it was very useful in preparation of writing for grad school!,Strongly Agree
20021149,8/29/2020 12:27 PM,PhD in Operations Management,#1,UW Library Event Calendar,"Yes, I participated regularly in the general GSRI Slack., Yes, I participated my discipline specific Slack channel.","Yes, I attended both the Kick-Off and the STEM event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Following leading researchers and scholars in my field. Starting a research conversation.,Operations Management Area,Excellent. Very good ice breaker for incoming PhDs into the research arena.,Strongly Agree
20020822,8/28/2020 5:25 PM,masters in biomedical regulatory affairs,#1,Department Advisor,"Yes, I participated in private Slack channels.","Yes, I attended both the Kick-Off and the STEM event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,all about the UW libraries functioning and accessing resources. assurance that we can always get help even after the course was very helpful.,how graduate research works and how to ask for help when you need resources.,specifically about how research works in my department. but i understand that it is not quite possible considering there are multitude of departments at UW.,very impressive efforts from all librarians. successfully running the course online and ensuring contempt of all students is an amazing feat.,Strongly Agree
20020756,8/28/2020 4:27 PM,Psychology,#1,Department Advisor,"Yes, I participated in private Slack channels.","No, I did not attend either synchronous Zoom event.",Anxious,Comfortable,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,The abundance of resources that were provided.,,,It was a great course!,Strongly Agree
