Timestamp,What is your field of study/discipline?,What GSRI session did you participate in?,What engagement style did you choose to participate with? ,"If you participated in Slack, were you satisfied with the level of support and interaction? ","If you did not participate in Slack, were you satisfied with the level of support you got from the experience? ",Did you attend any of the synchronous Zoom sessions?,Check the phrases that best describe your comfort level before this workshop in regards to research at the graduate level. Check all that apply.,Check the phrases that best describe your comfort level after this workshop in regards to research at the graduate level. Check all that apply.,What aspects of this course were most useful?,The most useful thing I learned in this course was:,I would have liked to learn more about: ,What was your overall impression of the Graduate Student Research Institute?,I would recommend GSRI to other / future UW graduate students.,Is there any other feedback you would like to provide to the UW Libraries about the GSRI?
8/27/2021 11:08:56,Applied Toxicology ,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Great social time with lots of useful tips ,,"Yes, I attended the GSRI kick-off event on Monday",Comfortable,Confident,,,,A helpful and friendly place to get started with research ,Strongly agree,Thank you all so much for hosting this event! 
8/27/2021 12:16:04,Chemistry,"Session 1/A: August 23-27, 2021",Lower engagement/ Canvas only,,"Yes, I wanted to interact more with the content than on a discussion board. ","No, I did not attend any of the synchronous events",Anxious,Somewhat anxious,"The library/research resources, journals, citation sources that I could save for future reference",I will be well supported at UW,,Useful!,Agree,
8/27/2021 12:53:19,MHCI+D,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Yes,,"Yes, I attended the GSRI kick-off event on Monday",Anxious,"Somewhat anxious, Comfortable","Meeting the mentors, all the resources / links / recommendations. ",,,"I think having the Canvas resources are invaluable- I have bookmarked many of the links I think I'll be using, but once school gets going and we start diving into material, I feel like having the modules to refer to will be really helpful. I also really enjoyed talking to the mentors/librarians and getting course specific recommendations (for example- what citations to use). ",Agree,"The only feedback I can think of:  I wish there was maybe a daily discussion prompt posted in Slack by the mentors to get the discussions started. It kinda felt like every Module Activity ended with ""Now go discuss what you learned today in Slack!"" Sometimes it feels intimidating to be the first one to start the conversation and it can be easier to jump into an existing one. "
8/27/2021 13:26:24,Organic Chemistry,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,I chose to engage less in slack than I thought I would. I was satisfied with what I did do,Yes,"Yes, I attended the GSRI kick-off event on Monday, I wish I had been able to attend the Scholarly Publishing event and the STEM event","Somewhat anxious, Comfortable",Confident,"Introducing us to all of the different resources the library has for us was awesome, as was the introduction to the citation managers",How to use the citation managers—that will save me so much time in the long run,I was very satisfied with all I learned about!,A very helpful introduction/overview of the resources that will make my time researching at the UW so much simpler and easier,Strongly agree,"Thank you, it was very helpful and I learned a ton!"
8/27/2021 14:06:01,MLIS,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Yes,,"No, I did not attend any of the synchronous events",Anxious,Comfortable,Improving Research Strategies and Productivity Tools modules,database searching and citation management tools,Research design and basics of developing thesis/research proposals,Very useful and positive,Strongly agree,
8/27/2021 14:55:35,Chemistry,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Yes,,"Yes, I attended the GSRI kick-off event on Monday, Yes, I attended the Scholarly Publishing event on Wednesday",Comfortable,Comfortable,The database section and the suggestions in the synchronous session.,To carefully check the citation and the field is necessary in research.,,,Agree,
8/27/2021 17:24:07,Nutrition,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Yes,Yes,"Yes, I attended the GSRI kick-off event on Monday, Yes, I attended the Scholarly Publishing event on Wednesday, Yes, I attended the STEM event on Thursday",Did not know what to expect.,"Somewhat anxious, Comfortable",Learning about the different databases used for research.,Credible citation manager sites,the difficulty of graduate research and what incoming graduate students should expect.,Informative,Strongly agree,none
8/27/2021 18:32:11,Psychology,"Session 1/A: August 23-27, 2021",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Comfortable,"Somewhat anxious, Very confident","Citation Management tools  & Writing, Research, and Study Skills",Citation Management tools,Open educational resources,"Extremely impressed and very engaging. I assumed it would be a lot of reading only  but was very engage with the links provided, videos, and activities.",Strongly agree,Loved the flexibility of taking the courses on my own time. Thank you for all your help. I'm glad I took these classes and will 100% help me as I start my PhD program this fall. 
8/27/2021 18:52:34,MLIS,"Session 1/A: August 23-27, 2021",High engagement/Slack and Canvas,Yes,,"Yes, I attended the GSRI kick-off event on Monday",Somewhat anxious,Comfortable,I loved having direct contact with other people in my program and my subject librarian at the same time. Being able to ask questions and receive answers as well as take part in further conversations about subject specific topics was really helpful.,The Productivity Tools and Improving Strategies modules in general were so helpful.,Community impact,I thought it was a wonderful introduction to graduate level research that would help me get my feet under me as I approach my first quarter. I'm feeling way more confident now in my knowledge of how to navigate UW's resources. I love that it wasn't a huge time commitment but was really what we as students put into it.,Strongly agree,
8/27/2021 18:57:47,nursing,"Session 1/A: August 23-27, 2021",medium engagement/slack & canvas,Yes,,"No, I did not attend any of the synchronous events",curious,curious from more of a distance,great overview of resources available through UW web sites,"that everything I REALLY need to know for my courses has already been shared with me during my first year by our subject matter librarian. But this helped give me a broader perspective on the multi-campus library system's tools and resources, so it was useful. Also, I had no idea how many specialized librarians are employed by a university, which I think is AWESOME.",efficient techniques for sifting through literature search results and organizing the information retrieved. ,helpful broad overview; also a rabbit warren of resources,Agree,Thanks! Librarians are the best!
