Timestamp,Discipline,Field,School,Session,Engagement-Style,Satisfied-Slack,Satisfied-Canvas,Attended-Zoom,Comfort-Level,Recommended
8/17/2022 15:07:30,Social Sciences,Education,Education,Session 1/A,Slack and Canvas,Yes,,Yes,Confident,Strongly agree
8/22/2022 14:09:38,Social Sciences,Library and Information Science,Information School,Session 1/A,Canvas only,,Yes,No,Confident,Agree
8/23/2022 14:46:29,Arts/Humanities,Asian Studies,Arts & Sciences,Session 1/A,Slack and Canvas,Yes,,No,Comfortable,Strongly agree
8/23/2022 18:24:21,Business/Management,Construction Management,Built Environments,Session 1/A,Slack and Canvas,Yes,,No,Confident,Strongly agree
8/25/2022 7:22:42,STEM,Mechanical Engineering,Engineering,Session 1/A,Canvas only,,Yes,No,Confident,Strongly agree
8/25/2022 11:37:22,STEM,Environmental and Forest Sciences,Environment,Session 1/A,Canvas only,,Yes,No,Comfortable,Agree
8/25/2022 14:42:37,Arts/Humanities,Architecture,Built Environments,Session 1/A,Canvas only,,Yes,No,Comfortable,Strongly agree
8/25/2022 16:15:23,STEM,Bioengineering,Engineering,Session 1/A,Canvas only,N/A,Yes,No,Comfortable,Agree
8/26/2022 7:42:39,Health Sciences,Epidemiology,School of Public Health,Session 1/A,Canvas only,,Yes,No,Somewhat anxious,Agree
8/26/2022 9:50:44,Social Sciences,International Studies,Arts & Sciences,Session 1/A,Canvas only,,Yes,No,Comfortable,Strongly agree
8/26/2022 10:01:58,Social Sciences,Psychology,Arts & Sciences,Session 1/A,Slack and Canvas,No,Yes,No,Comfortable,Strongly agree
8/26/2022 14:26:04,Social Sciences,Library and Information Science,Information School,Session 1/A,Slack and Canvas,Yes,,Yes,Comfortable,Strongly agree
8/26/2022 17:06:51,Social Sciences,Library and Information Science,Information School,Session 1/A,Slack and Canvas,Yes,,Yes,Confident,Strongly agree
8/26/2022 17:30:56,Health Sciences,Epidemiology,School of Public Health,Session 1/A,Slack and Canvas,Yes,N/A,No,Comfortable,Strongly agree
