Timestamp,What is your field of study/discipline?,What GSRI session did you participate in?,What engagement style did you choose to participate with? ,"If you participated in Slack, were you satisfied with the level of support and interaction? ","If you did not participate in Slack, were you satisfied with the level of support you got from the experience? ",Did you attend any of the synchronous Zoom sessions?,Check the phrases that best describe your comfort level after this workshop in regards to research at the graduate level. Check all that apply.,What aspects of this course were most useful?,The most useful thing I learned in this course was:,I would have liked to learn more about: ,What was your overall impression of the Graduate Student Research Institute?,I would recommend GSRI to other / future UW graduate students.,Is there any other feedback you would like to provide to the UW Libraries about the GSRI?
8/17/2022 15:07:30,education,"Session 1/A: August 22-26, 2022",High engagement/Slack and Canvas,Yes,,"Yes, I attended the BIPOC Student Experiences panel, I finished modules earlier and I will attendet zoom too.",Confident,citation management ,citation management tools,so good so far, finding opportunities for individual ,Strongly agree,so good so far
8/22/2022 14:09:38,Library and Information Science,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Confident,Activities at the end of each module with links to relevant pages,Amazing wealth of resources offered to UW researchers,Tools specific to legal reserach,Favorable,Agree,"Thank you for offering this program to all graduate students, not just BIPOC students"
8/23/2022 14:46:29,Asian Studies,"Session 1/A: August 22-26, 2022",High engagement/Slack and Canvas,Yes,,"No, I did not attend any of the synchronous events",Comfortable,,,,,Strongly agree,
8/23/2022 18:24:21,Construction Management,"Session 1/A: August 22-26, 2022",High engagement/Slack and Canvas,Yes,,"No, I did not attend any of the synchronous events",Confident,"Aspects that covered research impacts, citation software, how to use library resources. Also, learning about publications, journals etc was very helpful.","Citations, research impact, writing skills, and communication. ","I would like learn more about Conference proceedings, presentations","This is very informative, rewarding and quite helpful for new students. I am glad I got this opportunity to go through this course. Being a PhD student, I was somewhat intimidated with the research abilities, however this course really helped me. ",Strongly agree,
8/25/2022 7:22:42,Mechanical Engineering,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Confident,The daily activities were a great way to explore subjects more deeply.,A great introduction to all the resources currently available (there are a lot!).,Research funding opportunities for specific disciplines.,GSRI offers a lot of useful information and will be a great resource.,Strongly agree,Thank you!
8/25/2022 11:37:22,Environmental and Forest Sciences,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Comfortable,Research resources! How to best utilize UW library system as well as other ways to get resources. ,Excited about linking Google Scholar with UW,,,Agree,It seems hard to know what level of experience students are coming with - I think this course did a good job of recapping stuff that students may already be familiar with as well as introducing new ideas/resources. UW is such a big institution with lots of resources which can feel overwhelming but this course helped me pinpoint some which will be most useful to me during my graduate work. Thanks!
8/25/2022 14:42:37,architecture,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Comfortable,tools for searching + publishing ,,softskills about talking to faculty and navigating academic career ,i loveit.,Strongly agree,
8/25/2022 16:15:23,Bioengineering ,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,NA,Yes,"No, I did not attend any of the synchronous events",Comfortable,Showcasing the many research and organizational tool available to graduate students. ,,,,Agree,
8/26/2022 7:42:39,Epidemiology,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events","Somewhat anxious, Comfortable","Introduction to resources, this will be a useful source for future reference",About the library toolkits,Further information on reference managers,Positive. Grateful that the library service has taken time to help new students prepare for the start of term.,Agree,
8/26/2022 9:50:44,International Studies,"Session 1/A: August 22-26, 2022",Lower engagement/ Canvas only,,Yes,"No, I did not attend any of the synchronous events",Comfortable,Citation help,Citation and how to start with research,na,It was awesome. Thank you for offering,Strongly agree,"Some of the links on day 4 were broken (core programs blogspot, cultivating effective writing, tips for writing productivity"
